Pensioner,Katarzyna,Nowak,88081709234,1.75,70,katarzyna.nowak@gmail.com,5200.0,25
Pensioner,Adam,Kowalski,75061708321,1.8,80,adam.kowalski@gmail.com,4900.5,30
Pensioner,Marta,Wójcik,91021508235,1.68,55,marta.wojcik@gmail.com,4800.75,22
Pensioner,Piotr,Jankowski,89051708432,1.78,75,piotr.jankowski@gmail.com,5300.0,28
Pensioner,Julia,Szymańska,45081708211,1.6,70,julia.szymanska@gmail.com,4600.25,35
Pensioner,Robert,Nowak,80071708548,1.85,90,robert.nowak@gmail.com,6000.0,20
Pensioner,Kinga,Kowalczyk,97071708548,1.72,63,kinga.kowalczyk@gmail.com,5500.75,32
Pensioner,Wojciech,Adamczyk,56061708123,1.78,85,wojciech.adamczyk@gmail.com,5800.8,38
Pensioner,Magdalena,Mazur,92071708548,1.75,60,magdalena.mazur@gmail.com,5700.25,30
Pensioner,Michał,Nowakowski,88071708548,1.81,70,michal.nowakowski@gmail.com,5200.5,42
Pensioner,Zofia,Włodarczyk,80071708765,1.7,58,zofia.wlodarczyk@gmail.com,5500.25,28
Pensioner,Jan,Sawicki,54061708543,1.75,80,jan.sawicki@gmail.com,5100.8,36
Pensioner,Kamila,Kaczmarek,98071708548,1.65,68,kamila.kaczmarek@gmail.com,5600.0,25
Pensioner,Jakub,Kowal,00101708432,1.77,75,jakub.kowal@gmail.com,5900.75,30
Pensioner,Anna,Lewandowska,91051708321,1.73,60,anna.lewandowska@gmail.com,5300.25,32
Pensioner,Łukasz,Kwiatkowsi,98071708118,1.76,68,lukasz.kwiatkowski@gmail.com,5400.0,27
Pensioner,Marta,Sikorska,51061708124,1.68,72,marta.sikorska@gmail.com,4800.5,40
Pensioner,Marek,Piotrowski,87071708131,1.85,85,marek.piotrowski@gmail.com,6000.75,35
Pensioner,Natalia,Borowska,94071708148,1.67,55,natalia.borowska@gmail.com,5200.25,28
Pensioner,Tomasz,Słowik,00111708151,1.79,72,tomasz.slowik@gmail.com,5500.0,33
